https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=223&discid=366 - 20 הלהיטים,גזוז
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1530&discid=1228 - אין כניסה לפילים,ג'ירפות
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1535&discid=881 - נועדנו,גלעד שגב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1535&discid=882 - האהבה נשארת,גלעד שגב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1535&discid=883 - עכשיו טוב,גלעד שגב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=216&discid=972 - חופשי,גאיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=216&discid=973 - נולדנו להמשיך חיים,גאיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=216&discid=974 - רוקדים ושרים,גאיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3237&discid=1110 - עתיד,גבריאל בלחסן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3237&discid=1115 - בשדות,גבריאל בלחסן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3237&discid=1116 - רכבות,גבריאל בלחסן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5296&discid=1148 - אף מילה,גליה ירון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1631&discid=594 - אין לי מה להתלונן,גיא מר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5488&discid=834 - Get Closer,גבע אלון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5488&discid=714 - The Wall Of Sound,גבע אלון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5488&discid=715 - Days Of Hunger,גבע אלון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=7629&discid=1182 - כל מה שאני,גוסטו
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4091&discid=1344 - עשרה חודשים,דור דניאל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4091&discid=593 - בין החלומות,דור דניאל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4592&discid=1428 - גיבור,דודו אהרון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4592&discid=1398 - אין כמו אהבה,דודו אהרון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4592&discid=1221 - מילים פשוטות,דודו אהרון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1321&discid=1319 - דודו טסה והכוויתים,דודו טסה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1321&discid=1060 - אחרי לילה של רעש,דודו טסה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1321&discid=562 - בסוף מתרגלים להכל,דודו טסה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=319&discid=177 - חיפה 87,דניאל סלומון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=319&discid=178 - רבות הדרכים,דניאל סלומון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=319&discid=179 - דניאל סלומון,דניאל סלומון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=301&discid=1364 - שפה שלישית,דיויד ברוזה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=301&discid=1058 - Night Dawn,דיויד ברוזה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=301&discid=632 - נשיקה גנובה,דיויד ברוזה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=2724&discid=73 - חופשיה בין עולמות,דין דין אביב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=2724&discid=74 - סודותי,דין דין אביב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=316&discid=377 - משהו חדש מתחיל,דני רובס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=316&discid=379 - פנים ושמות,דני רובס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=314&discid=867 - לא יפריד דבר,דני סנדרסון
